subject,area,quadrant,prf_size,zscore,deviation_class
sub-02,V1,UL,0.8230916968492111,-0.811545007314302,0
sub-02,V1,UR,0.6358449513644696,-1.1307709570984932,0
sub-02,V1,DL,1.0460837472052182,0.00445112666836033,0
sub-02,V1,DR,0.9342584983428072,0.036770110215105914,0
sub-02,V2,UL,0.9756518848543448,-0.5443978846424892,0
sub-02,V2,UR,1.1301077376847286,0.21397076576870586,0
sub-02,V2,DL,1.2482775320072643,0.2878225393042277,0
sub-02,V2,DR,1.135832360359606,0.5334081280457413,0
sub-02,V3,UL,1.2177146906106455,0.1443083407957223,0
sub-02,V3,UR,1.538356776834188,0.5231963412737753,0
sub-02,V3,DL,1.6161461902671268,0.7271554920406734,0
sub-02,V3,DR,1.603484819779471,1.1426441840652792,0
sub-04,V1,UL,0.949283361644465,-0.3141900978935172,0
sub-04,V1,UR,0.9326632066047212,-0.03937844794212461,0
sub-04,V1,DL,1.2338785843920588,0.8756880394656686,0
sub-04,V1,DR,0.9617507447581556,0.1545591942053561,0
sub-04,V2,UL,1.4814439496780558,1.4625333165897667,0
sub-04,V2,UR,1.158737203868313,0.3259785009799577,0
sub-04,V2,DL,1.3790456753808449,0.7337189175968241,0
sub-04,V2,DR,1.0105308979620335,0.007499657300749911,0
sub-04,V3,UL,1.2859339034347994,0.39400398963230593,0
sub-04,V3,UR,1.3846508540237914,0.007003380496260858,0
sub-04,V3,DL,1.869087469807373,1.4475176567807737,0
sub-04,V3,DR,1.5991202118357801,1.1274565984947904,0
sub-05,V1,UL,0.7385858561228751,-1.1446049984648021,0
sub-05,V1,UR,0.8815213855599897,-0.22742550841573633,0
sub-05,V1,DL,0.6225098604265114,-1.9606359384860417,0
sub-05,V1,DR,0.7644546048907486,-0.6907457415462768,0
sub-05,V2,UL,0.8186654857278848,-1.1673038661465769,0
sub-05,V2,UR,1.230939351218474,0.608456663521377,0
sub-05,V2,DL,0.7734362380956595,-1.331302790127736,0
sub-05,V2,DR,0.9543271181431088,-0.22839578501159422,0
sub-05,V3,UL,0.8577662208076964,-1.1731733919070113,0
sub-05,V3,UR,0.8146666682085424,-1.9071832630156538,0
sub-05,V3,DL,0.8632006028382019,-1.4171900820691667,0
sub-05,V3,DR,1.2000056821387353,-0.26134765389202613,0
sub-06,V1,UL,0.8971851726111791,-0.5195229154744401,0
sub-06,V1,UR,0.9294590408194564,-0.05116007684935816,0
sub-06,V1,DL,0.9716182148140813,-0.34101694648060854,0
sub-06,V1,DR,0.7066235962992419,-0.9385196566099409,0
